1203744|PQQ-fold-prepare|COMPLETED|0:0|138|64|billing=64,cpu=64,node=1|34:30.456||node-64-768g-11
1203744.batch|batch|COMPLETED|0:0|138|64|cpu=64,mem=0,node=1|34:30.454|1238064K|node-64-768g-11
1203744.extern|extern|COMPLETED|0:0|138|64|billing=64,cpu=64,node=1|00:00.001|72K|node-64-768g-11
1203747|PQQ-fold-MACE|FAILED|1:0|0|32|billing=32,cpu=32,node=1|00:00.075||node-224-2t-8gpu-1
1203747.batch|batch|FAILED|1:0|0|32|cpu=32,mem=0,node=1|00:00.073|0|node-224-2t-8gpu-1
1203747.extern|extern|COMPLETED|0:0|1|32|billing=32,cpu=32,node=1|00:00.001|0|node-224-2t-8gpu-1
1203769|PQQ-fold-MACE|COMPLETED|0:0|170|32|billing=32,cpu=32,node=1|02:08.487||node-224-2t-8gpu-1
1203769.batch|batch|COMPLETED|0:0|170|32|cpu=32,mem=0,node=1|02:08.485|1172596K|node-224-2t-8gpu-1
1203769.extern|extern|COMPLETED|0:0|170|32|billing=32,cpu=32,node=1|00:00.001|0|node-224-2t-8gpu-1
1203797|PQQ-fold-GFN2|FAILED|1:0|1138|64|billing=64,cpu=64,node=1|11:41:26||node-64-768g-19
1203797.batch|batch|FAILED|1:0|1138|64|cpu=64,mem=0,node=1|11:41:26|3950924K|node-64-768g-19
1203797.extern|extern|COMPLETED|0:0|1138|64|billing=64,cpu=64,node=1|00:00.001|0|node-64-768g-19
1203798|PQQ-fold-GFN2|COMPLETED|0:0|854|64|billing=64,cpu=64,node=1|07:07:30||node-64-768g-6
1203798.batch|batch|COMPLETED|0:0|854|64|cpu=64,mem=0,node=1|07:07:30|4254092K|node-64-768g-6
1203798.extern|extern|COMPLETED|0:0|854|64|billing=64,cpu=64,node=1|00:00.001|0|node-64-768g-6
1203799|PQQ-fold-GFN2|COMPLETED|0:0|940|64|billing=64,cpu=64,node=1|07:56:21||node-64-768g-17
1203799.batch|batch|COMPLETED|0:0|940|64|cpu=64,mem=0,node=1|07:56:21|4167996K|node-64-768g-17
1203799.extern|extern|COMPLETED|0:0|940|64|billing=64,cpu=64,node=1|00:00.001|0|node-64-768g-17
1203800|PQQ-fold-GFN2|FAILED|1:0|776|64|billing=64,cpu=64,node=1|07:28:29||node-64-768g-21
1203800.batch|batch|FAILED|1:0|776|64|cpu=64,mem=0,node=1|07:28:29|4280368K|node-64-768g-21
1203800.extern|extern|COMPLETED|0:0|776|64|billing=64,cpu=64,node=1|00:00.001|0|node-64-768g-21
