case_id,expected_class,original_R_model_kcal_mol,selected_R_model_kcal_mol,change_model_kcal_mol,original_decision,selected_decision,original_margin_to_own_frozen_band,selected_margin_to_own_frozen_band
a0a3f2yly8-pqq-la_model,La,-405459.1113819997,-405455.16948066803,3.9419013316510245,La-supported,La-supported,0.0,3.9419013316510245
a0acd6b9f2-pqq-la_model,La,-405438.74087265367,-405439.4433334618,-0.7024608081555925,La-supported,La-supported,20.37050934601575,19.66804853786016
c5atj3-pqq-la_model,La,-405426.83845886413,-405426.4951158627,0.34334300144109875,La-supported,La-supported,32.2729231355479,32.616266136989
c5axv8-pqq-la_model,La,-405455.77794676693,-405456.1793213965,-0.40137462958227843,La-supported,La-supported,3.3334352327510715,2.932060603168793
c5b120-pqq-la_model,La,-405445.01974041143,-405444.134206002,0.8855344094336033,La-supported,La-supported,14.091641588252969,14.977175997686572
i0jwn7-pqq-la_model,La,-405433.6030959168,-405434.77197788,-1.168881963181775,La-supported,La-supported,25.508286082884297,24.33940411970252
mmol_1770-pqq-la_model,La,-405448.06975770165,-405447.46692243544,0.6028352662106045,La-supported,La-supported,11.041624298028182,11.644459564238787
mmol_2048-pqq-la_model,La,-405440.9972144923,-405442.5518127461,-1.5545982538023964,La-supported,La-supported,18.11416750738863,16.559569253586233
q88jh0-pqq-la_model,La,-405454.2791772229,-405454.2791772229,0.0,La-supported,La-supported,4.832204776757862,4.832204776757862
q89gy2-pqq-la_model,La,-405442.10854544706,-405442.775742303,-0.6671968559385277,La-supported,La-supported,17.002836552623194,16.335639696684666
q92wy9-pqq-la_model,La,-405435.8343910663,-405434.65362102614,1.1807700401404873,La-supported,La-supported,23.276990933401976,24.457760973542463
a8r3s4-pqq-la_model,Ca,-405477.8037551456,-405477.2425146677,0.5612404778948985,Ca-supported,Ca-supported,13.616006865573581,13.054766387678683
atq70401.1-pqq-la_model,Ca,-405492.3356730083,-405488.480032584,3.855640424299054,Ca-supported,Ca-supported,28.147924728284124,24.29228430398507
bbl57595.1-pqq-la_model,Ca,-405492.3360680642,-405487.76283937984,4.573228684370406,Ca-supported,Ca-supported,28.148319784202613,23.575091099832207
o24759-pqq-la_model,Ca,-405481.75733208755,-405478.3489659009,3.4083661866607144,Ca-supported,Ca-supported,17.569583807548042,14.161217620887328
p12293-pqq-la_model,Ca,-405492.6465561402,-405489.6641119893,2.9824441508972086,Ca-supported,Ca-supported,28.458807860210072,25.476363709312864
p15279-pqq-la_model,Ca,-405492.1509967292,-405489.11226996663,3.0387267625774257,Ca-supported,Ca-supported,27.963248449203093,24.924521686625667
p16027-pqq-la_model,Ca,-405493.0051746516,-405490.4125087643,2.5926658873213455,Ca-supported,Ca-supported,28.817426371620968,26.224760484299622
p38539-pqq-la_model,Ca,-405474.05776652816,-405475.31302789,-1.2552613618317991,Ca-supported,Ca-supported,9.870018248155247,11.125279609987047
q4w6g0-pqq-la_model,Ca,-405474.36698268057,-405473.66197996703,0.7050027135410346,Ca-supported,Ca-supported,10.179234400566202,9.474231687025167
q60ar6-pqq-la_model,Ca,-405479.9756812225,-405477.1968927906,2.778788431896828,Ca-supported,Ca-supported,15.787932942504995,13.009144510608166
q88jh5-pqq-la_model,Ca,-405469.11005116935,-405466.8384558873,2.271595282072667,Ca-supported,Ca-supported,4.922302889346611,2.6507076072739437
q8gr64-pqq-la_model,Ca,-405489.6866956096,-405483.41125715425,6.275438455340918,Ca-supported,Ca-supported,25.498947329586372,19.223508874245454
q9l935-pqq-la_model,Ca,-405489.75452275266,-405489.8926318112,-0.138109058549162,Ca-supported,Ca-supported,25.56677447265247,25.70488353120163
q9z4j7-pqq-la_model,Ca,-405464.18774828,-405462.0237183686,2.1640299113932997,Ca-supported,inconclusive,-0.0,-2.1640299113932997
1H4I,Ca,-405506.64798195066,-405506.7673865578,-0.11940460716141388,Ca-supported,Ca-supported,42.46023367065936,42.57963827782078
4MAE,La,-405441.6669665448,-405442.2732034333,-0.6062368885031901,La-supported,La-supported,17.44441545486916,16.83817856636597
1KB0,Ca,-405481.66151264904,-405482.0307725406,-0.3692598915658891,Ca-supported,Ca-supported,17.473764369031414,17.843024260597304
PQQSEQ_83440678cbbd658047c9,,-405530.2564807228,-405469.31051164307,60.94596907973755,Ca-supported,Ca-supported,,
PQQSEQ_07ab500e3df76b30d71c,,-405497.9555533027,-405460.19201611413,37.76353718858445,Ca-supported,inconclusive,,
