JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|ReqMem|NodeList
1202050|COMPLETED|408|16|08:01.800||200000M|node-224-2t-8gpu-1
1202050.batch|COMPLETED|408|16|08:01.798|1575756K||node-224-2t-8gpu-1
1202050.extern|COMPLETED|408|16|00:00.001|0||node-224-2t-8gpu-1
1202052|COMPLETED|1861|64|1-07:18:52||256G|node-64-768g-31
1202052.batch|COMPLETED|1861|64|1-07:18:52|13961120K||node-64-768g-31
1202052.extern|COMPLETED|1861|64|00:00.001|60K||node-64-768g-31
1202053|COMPLETED|154|16|03:48.787||200000M|node-224-2t-8gpu-1
1202053.batch|COMPLETED|154|16|03:48.784|509M||node-224-2t-8gpu-1
1202053.extern|COMPLETED|154|16|00:00.002|0||node-224-2t-8gpu-1
1202056|COMPLETED|118|16|02:16.868||200000M|node-224-2t-8gpu-1
1202056.batch|COMPLETED|118|16|02:16.866|1525452K||node-224-2t-8gpu-1
1202056.extern|COMPLETED|118|16|00:00.002|0||node-224-2t-8gpu-1
1202058|COMPLETED|389|64|06:14:01||256G|node-64-768g-31
1202058.batch|COMPLETED|389|64|06:14:01|11960840K||node-64-768g-31
1202058.extern|COMPLETED|389|64|00:00.001|56K||node-64-768g-31
1202059|COMPLETED|34|16|00:52.967||200000M|node-224-2t-8gpu-1
1202059.batch|COMPLETED|34|16|00:52.966|933448K||node-224-2t-8gpu-1
1202059.extern|COMPLETED|34|16|00:00.001|0||node-224-2t-8gpu-1
1202063|COMPLETED|100|16|01:55.677||200000M|node-224-2t-8gpu-1
1202063.batch|COMPLETED|100|16|01:55.675|1585064K||node-224-2t-8gpu-1
1202063.extern|COMPLETED|100|16|00:00.001|0||node-224-2t-8gpu-1
1202064|COMPLETED|329|64|04:05:13||192G|node-64-768g-31
1202064.batch|COMPLETED|329|64|04:05:13|8883244K||node-64-768g-31
1202064.extern|COMPLETED|329|64|00:00.001|68K||node-64-768g-31
1202065|COMPLETED|26|16|00:42.287||200000M|node-224-2t-8gpu-1
1202065.batch|COMPLETED|26|16|00:42.284|0||node-224-2t-8gpu-1
1202065.extern|COMPLETED|26|16|00:00.002|0||node-224-2t-8gpu-1
