JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|NodeList
1201830|FAILED|1|64|00:01.337||node-64-768g-3
1201830.batch|FAILED|1|64|00:01.336|0|node-64-768g-3
1201830.extern|COMPLETED|1|64|00:00:00|0|node-64-768g-3
1201831|COMPLETED|24|64|00:16.790||node-64-768g-3
1201831.batch|COMPLETED|24|64|00:16.788|0|node-64-768g-3
1201831.extern|COMPLETED|24|64|00:00.001|56K|node-64-768g-3
1201847|COMPLETED|137|16|02:32.363||node-128-512g-8gpu-1
1201847.batch|COMPLETED|137|16|02:32.360|794228K|node-128-512g-8gpu-1
1201847.extern|COMPLETED|137|16|00:00.002|0|node-128-512g-8gpu-1
1201849|COMPLETED|96|16|01:40.400||node-128-512g-8gpu-1
1201849.batch|COMPLETED|96|16|01:40.397|1155256K|node-128-512g-8gpu-1
1201849.extern|COMPLETED|96|16|00:00.002|0|node-128-512g-8gpu-1
1201853|COMPLETED|402|64|06:17:18||node-64-768g-7
1201853.batch|COMPLETED|402|64|06:17:18|12269808K|node-64-768g-7
1201853.extern|COMPLETED|402|64|00:00.001|72K|node-64-768g-7
1201867|COMPLETED|118|64|01:44:48||node-64-768g-33
1201867.batch|COMPLETED|118|64|01:44:48|5929696K|node-64-768g-33
1201867.extern|COMPLETED|118|64|00:00.001|56K|node-64-768g-33
