case,pattern,n_variable_waters,status,E_Ca_hartree,E_La_hartree,R_hartree,delta_R_from_full_kcal_mol
1F6S,00,0,complete,-2668.733033633717,-2022.669507076876,-646.0635265568408,-7.3633040965072825
1F6S,01,1,complete,-2745.184307086803,-2099.130459553794,-646.053847533009,-1.2896249430295772
1F6S,10,1,complete,-2745.185905209418,-2099.125979376539,-646.0599258328789,-5.1038156971680415
1F6S,11,2,complete,-2821.635763147877,-2175.583970763031,-646.0517923848456,0.0
6IP9,000,0,complete,-2745.144284048606,-2099.073476268208,-646.0708077803979,-14.988150433571555
6IP9,001,1,complete,-2821.600215956924,-2175.535972078779,-646.0642438781447,-10.86923958326633
6IP9,010,1,complete,-2821.591964822101,-2175.529516603865,-646.0624482182361,-9.742445978558909
6IP9,011,2,complete,-2898.035945004707,-2251.981405250186,-646.0545397545211,-4.779810072603801
6IP9,100,1,complete,-2821.582782571474,-2175.521888297897,-646.0608942735771,-8.767330982959523
6IP9,101,2,complete,-2898.036695424466,-2251.981047943959,-646.0556474805071,-5.474918623416713
6IP9,110,2,complete,-2898.029289793182,-2251.975974414766,-646.0533153784163,-4.011502467101835
6IP9,111,3,complete,-2974.471502250643,-2328.424579608326,-646.046922642317,0.0
