case,from_pattern,to_pattern,water,delta_R_kcal_mol,Ca_electronic_exchange_kcal_mol,La_electronic_exchange_kcal_mol,Ca_missing_nonE_for_neutral_kcal_mol,La_missing_nonE_for_neutral_kcal_mol,Ca_remaining_if_gas_internal_ZPE_kcal_mol,La_remaining_if_gas_internal_ZPE_kcal_mol
1F6S,00,10,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 211}",2.2594883993392414,-21.295315877001084,-23.554804276340324,21.63337004387175,23.89285844321099,8.161085691827289,10.420574091166529
1F6S,00,01,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 212}",6.0736791534777055,-20.29247879564859,-26.366157949126297,20.630532962519258,26.704212115996963,7.158248610474796,13.231927763952502
1F6S,01,11,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 211}",1.2896249430295772,-20.40706703778667,-21.69669198081625,20.745121204657337,22.034746147686917,7.272836852612876,8.562461795642456
1F6S,10,11,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 212}",5.1038156971680415,-19.40422995643418,-24.50804565360222,19.742284123304845,24.846099820472887,6.269999771260384,11.373815468428425
6IP9,000,100,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 310}",6.220819450612032,-12.276089054003759,-18.496908504615792,12.614143220874427,18.83496267148646,-0.8581411311700347,5.362678319441997
6IP9,000,010,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 322}",5.245704455012645,-18.03803831506589,-23.283742770078536,18.376092481936556,23.621796936949202,4.903808129892095,10.149512584904741
6IP9,000,001,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 326}",4.118910850305225,-23.21570358761503,-27.334614437920255,23.553757754485698,27.67266860479092,10.081473402441237,14.20038425274646
6IP9,001,101,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 310}",5.394320959849616,-11.00911270844288,-16.403433668292497,11.347166875313548,16.741487835163163,-2.125117476730914,3.2692034831187016
6IP9,001,011,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 322}",6.089429510662528,-10.538217200326766,-16.627646710989296,10.876271367197434,16.965700877859963,-2.596012984847027,3.493416525815501
6IP9,010,110,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 310}",5.730943511457075,-11.53967418949087,-17.270617700947945,11.877728356361539,17.60867186781861,-1.5945559956829225,4.13638751577415
6IP9,010,011,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 326}",4.962635905955108,-15.71588247287591,-20.67851837883102,16.053936639746578,21.016572545701685,2.5816522877021164,7.5442881936572235
6IP9,011,111,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 310}",4.779810072603801,-10.430409913369614,-15.210219985973414,10.768464080240282,15.548274152844082,-2.7038202718041795,2.0759898007996203
6IP9,100,110,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 322}",4.755828515857688,-17.301623450553002,-22.05745196641069,17.63967761742367,22.395506133281355,4.167393265379207,8.923221781236894
6IP9,100,101,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 326}",3.2924123595428094,-21.94872724205415,-25.24113960159696,22.286781408924817,25.579193768467626,8.814497056880356,12.106909416423164
6IP9,101,111,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 322}",5.474918623416713,-9.9595144052535,-15.434433028670215,10.297568572124169,15.772487195540883,-3.1747157799202927,2.3002028434964217
6IP9,110,111,"{'canonical_resname': 'HOH', 'chain': 'A', 'insertion_code': '', 'resname': 'HOH', 'resnum': 326}",4.011502467101835,-14.606618196754651,-18.618120663856484,14.944672363625319,18.95617483072715,1.4723880115808576,5.483890478682689
