case_id,protein_id,selection_id,expected_class,method,R_model_kcal_mol,decision,outcome
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405450.8192425,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405450.8192425,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405462.9179844535,inconclusive,inconclusive
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405458.9125084502,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405452.9862309381,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405452.97874736495,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405437.74387924676,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405437.74387924676,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405443.9596978707,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405439.9871370081,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405434.2585198095,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405434.2633251899,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405451.4810665154,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405451.4810665154,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405461.14928958326,inconclusive,inconclusive
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405456.8948552082,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405448.44580516015,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405448.4472830517,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405431.19453429984,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405431.19453429984,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405435.5137513898,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405437.3513708829,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405427.9490886798,La-supported,correct
a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405427.9487017782,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,,unavailable,unavailable
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,,unavailable,unavailable
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405444.64574145543,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,released_static,-405441.4565402912,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_precision,-405445.9957615768,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_strict,-405445.99633735814,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,-405440.5035823147,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,-405440.5035823147,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405442.4777960932,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,released_static,-405438.7537810008,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_precision,-405440.90860391833,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_strict,-405440.9108616686,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,-405445.51950418396,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,-405445.51950418396,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405444.45390334935,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,released_static,-405438.7239055312,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_precision,-405443.6340125193,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_strict,-405443.63400195085,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,-405439.5969798923,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,-405439.5969798923,La-supported,correct
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405462.3774813276,inconclusive,inconclusive
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,released_static,-405461.4705923183,inconclusive,inconclusive
