triple_id,protein_id,selection_id,expected_class,method,R_model_kcal_mol,decision,outcome
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405450.8192425,La-supported,correct
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405450.8192425,La-supported,correct
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405461.14928958326,inconclusive,inconclusive
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405456.8948552082,La-supported,correct
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405448.44580516015,La-supported,correct
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405448.4472830517,La-supported,correct
triple_000,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,threefold3p5,-405446.70871191524,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405437.74387924676,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405437.74387924676,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405443.9596978707,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405439.9871370081,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405434.2585198095,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405434.2633251899,La-supported,correct
triple_001,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,threefold3p5,-405433.8188573205,La-supported,correct
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405450.8192425,La-supported,correct
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405450.8192425,La-supported,correct
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405461.14928958326,inconclusive,inconclusive
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405456.8948552082,La-supported,correct
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405448.44580516015,La-supported,correct
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405448.4472830517,La-supported,correct
triple_002,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,threefold3p5,-405446.70871191524,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_mathematical,-405437.74387924676,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_operational,-405437.74387924676,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,envelope_origin,-405443.9596978707,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,released_static,-405439.9871370081,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_precision,-405434.2585198095,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,tenfold_strict,-405434.2633251899,La-supported,correct
triple_003,a0a3f2yly8-pqq-la_model,a0a3f2yly8-pqq-la_model__envelope_e05e200a13d024a5,La,threefold3p5,-405433.8188573205,La-supported,correct
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,,unavailable,unavailable
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,,unavailable,unavailable
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405444.45390334935,La-supported,correct
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,released_static,-405438.7537810008,La-supported,correct
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_precision,-405443.6340125193,La-supported,correct
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_strict,-405443.63400195085,La-supported,correct
triple_004,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,threefold3p5,-405439.4293802323,La-supported,correct
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,,unavailable,unavailable
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,,unavailable,unavailable
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405444.64574145543,La-supported,correct
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,released_static,-405441.4565402912,La-supported,correct
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_precision,-405440.90860391833,La-supported,correct
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,tenfold_strict,-405440.9108616686,La-supported,correct
triple_005,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,threefold3p5,-405440.90860391833,La-supported,correct
triple_006,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_mathematical,,unavailable,unavailable
triple_006,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_operational,,unavailable,unavailable
triple_006,a0acd6b9f2-pqq-la_model,a0acd6b9f2-pqq-la_model__envelope_2eda778295ffed58,La,envelope_origin,-405444.64574145543,La-supported,correct
