JobID|JobName|State|ExitCode|ElapsedRaw|AllocCPUS|AllocTRES|MaxRSS
1204068|PLM-three-fold|COMPLETED|0:0|137|32|billing=32,cpu=32,node=1|
1204068.batch|batch|COMPLETED|0:0|137|32|cpu=32,mem=0,node=1|2506236K
1204068.extern|extern|COMPLETED|0:0|137|32|billing=32,cpu=32,node=1|0
1204068.0|python|COMPLETED|0:0|8|32|cpu=32,mem=0,node=1|0
1204068.1|python|COMPLETED|0:0|9|32|cpu=32,mem=0,node=1|0
1204068.2|python|COMPLETED|0:0|8|32|cpu=32,mem=0,node=1|0
1204069|PLM-three-fold|COMPLETED|0:0|135|32|billing=32,cpu=32,node=1|
1204069.batch|batch|COMPLETED|0:0|135|32|cpu=32,mem=0,node=1|2873356K
1204069.extern|extern|COMPLETED|0:0|135|32|billing=32,cpu=32,node=1|0
1204069.0|python|COMPLETED|0:0|10|32|cpu=32,mem=0,node=1|0
1204069.1|python|COMPLETED|0:0|9|32|cpu=32,mem=0,node=1|0
1204069.2|python|COMPLETED|0:0|10|32|cpu=32,mem=0,node=1|0
