JobIDRaw|JobName|State|AllocCPUS|ElapsedRaw|AllocTRES|MaxRSS
1210179|nikasha-native-restart|COMPLETED|64|26|billing=64,cpu=64,node=1|
1210179.batch|batch|COMPLETED|64|26|cpu=64,mem=0,node=1|0
1210179.extern|extern|COMPLETED|64|26|billing=64,cpu=64,node=1|0
1210185|nikasha-native-restart|COMPLETED|64|27|billing=64,cpu=64,node=1|
1210185.batch|batch|COMPLETED|64|27|cpu=64,mem=0,node=1|0
1210185.extern|extern|COMPLETED|64|27|billing=64,cpu=64,node=1|0
1210189|nikasha-collective-scaffold|COMPLETED|32|39|billing=32,cpu=32,node=1|
1210189.batch|batch|COMPLETED|32|39|cpu=32,mem=0,node=1|466360K
1210189.extern|extern|COMPLETED|32|40|billing=32,cpu=32,node=1|0
1210194|nikasha-collective-scaffold|COMPLETED|32|375|billing=32,cpu=32,node=1|
1210194.batch|batch|COMPLETED|32|375|cpu=32,mem=0,node=1|220864K
1210194.extern|extern|COMPLETED|32|375|billing=32,cpu=32,node=1|0
1210206|nikasha-collective-scaffold|COMPLETED|32|509|billing=32,cpu=32,node=1|
1210206.batch|batch|COMPLETED|32|509|cpu=32,mem=0,node=1|223672K
1210206.extern|extern|COMPLETED|32|509|billing=32,cpu=32,node=1|0
1210223|nikasha-common-pool|COMPLETED|32|36|billing=32,cpu=32,node=1|
1210223.batch|batch|COMPLETED|32|36|cpu=32,mem=0,node=1|258396K
1210223.extern|extern|COMPLETED|32|36|billing=32,cpu=32,node=1|0
1210223.0|python|COMPLETED|1|20|cpu=1,mem=0,node=1|0
1210224|nikasha-pool-solvent|COMPLETED|64|249|billing=64,cpu=64,node=1|
1210224.batch|batch|COMPLETED|64|249|cpu=64,mem=0,node=1|5622284K
1210224.extern|extern|COMPLETED|64|249|billing=64,cpu=64,node=1|0
