JobIDRaw|JobName|State|ElapsedRaw|AllocCPUS|ReqMem|MaxRSS|NodeList
1202082|donor-second-shell-DFT|COMPLETED|2244|64|256G||node-64-768g-14
1202082.batch|batch|COMPLETED|2244|64||39861612K|node-64-768g-14
1202082.extern|extern|COMPLETED|2244|64||64K|node-64-768g-14
1202083|donor-second-shell-MACE|COMPLETED|145|16|200000M||node-224-2t-8gpu-1
1202083.batch|batch|COMPLETED|145|16||1132028K|node-224-2t-8gpu-1
1202083.extern|extern|COMPLETED|145|16||0|node-224-2t-8gpu-1
1202091|PQQ-context-H|COMPLETED|264|16|200000M||node-224-2t-8gpu-1
1202091.batch|batch|COMPLETED|264|16||1279068K|node-224-2t-8gpu-1
1202091.extern|extern|COMPLETED|264|16||0|node-224-2t-8gpu-1
1202101|PQQ-context-H-DFT|COMPLETED|327|64|256G||node-64-768g-11
1202101.batch|batch|COMPLETED|327|64||12389764K|node-64-768g-11
1202101.extern|extern|COMPLETED|327|64||68K|node-64-768g-11
