task_id,status,reused,old_hartree,strict_hartree,change_kcal_mol,SCF_cycles,wall_seconds,printed_max_density_within,printed_rms_density_within,input_sha,output_sha
4MAE__extra_acidic_ligand_homolog_m0p2__Ca__vacuum,complete,False,-350.401583295037,-350.401583403038,-6.777162626827941e-05,36,19.401568,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,886ae51315ec349739d9124886ed57a0c99f802930eb0092d86f5d729bcfe2b6
4MAE__extra_acidic_ligand_homolog_m0p2__Ca__alpb,complete,False,-350.952459968969,-350.952465429404,-0.003426474715940332,25,17.082077,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,feae363fc2416140cc0ae4437ed232125789c8758caf1de1345ccacb1a7fbc6e
4MAE__extra_acidic_ligand_homolog_m0p2__La__vacuum,complete,False,-351.934552525505,-351.93456707567,-0.00913036636232994,95,29.105166,False,True,98faf01bb890ea96599c491eb87452cf1a41d4e74632e81d18fab8cc32e71f44,9ee7a1118e698b58139ba6d9c24f9b5220b72f103d900661282983139416ac7f
4MAE__extra_acidic_ligand_homolog_m0p2__La__alpb,complete,False,-352.321373499644,-352.321377038626,-0.0022207447421673018,75,25.864922,False,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,8516758bd963a483404efd75048a4a19934a47de7a50651eadfaa135b5a72e85
4MAE__extra_acidic_ligand_homolog_0p2__Ca__vacuum,complete,False,-350.398893650837,-350.398894053042,-0.0002523874412844526,29,17.713061,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,7bd37661290c8ca049a88a5c3eefca736d3e13ad48e9d72b3d97e02e4361831b
4MAE__extra_acidic_ligand_homolog_0p2__Ca__alpb,complete,False,-350.94967703924,-350.949677289698,-0.0001571647773874529,24,16.463488,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,eda4f71ee5bbcfa59718a991de9e0d70b840073e85591907a6b7a8c36a39ad04
4MAE__extra_acidic_ligand_homolog_0p2__La__vacuum,complete,False,-351.926744547053,-351.92674587647,-0.000834221791124767,59,23.194868,False,True,98faf01bb890ea96599c491eb87452cf1a41d4e74632e81d18fab8cc32e71f44,96a46f948c43a5faf6b1944a3a87cfe444497e7c8e7f3101565e3197d8c1abd8
4MAE__extra_acidic_ligand_homolog_0p2__La__alpb,complete,False,-352.313252965458,-352.313254085083,-0.0007025752841270544,115,32.784718,False,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,1e4f2e7ccc945654c7377bd7748c9b2f5dee8c05983f8e0e48da68c74ed70f04
PQQSEQ_83440678cbbd658047c9__origin__Ca__vacuum,complete,False,-326.223275046358,-326.223275173936,-8.005637117257436e-05,34,17.989251,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,dd5925b160d1d887ddd5ad45e7d67c40ae7aa0eb19b7a960c60fd070723994db
PQQSEQ_83440678cbbd658047c9__origin__Ca__alpb,complete,False,-326.758993114019,-326.758993215203,-6.349392743770477e-05,27,16.351294,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,b7d4fdbdcd458af26c1b82e6b7ad00abcd5f37d25834ee47a1c1b812814b876b
