JobID|State|ElapsedRaw|AllocCPUS|ReqMem|MaxRSS|NodeList
1210465|COMPLETED|657|32|200000M||node-224-2t-8gpu-1
1210465.batch|COMPLETED|657|32||87376K|node-224-2t-8gpu-1
1210465.extern|COMPLETED|657|32||0|node-224-2t-8gpu-1
1210465.0|COMPLETED|637|1||1176820K|node-224-2t-8gpu-1
1210505|COMPLETED|36|32|200000M||node-224-2t-8gpu-1
1210505.batch|COMPLETED|36|32||93440K|node-224-2t-8gpu-1
1210505.extern|COMPLETED|36|32||0|node-224-2t-8gpu-1
1210505.0|COMPLETED|21|1||0|node-224-2t-8gpu-1
1210506|COMPLETED|501|64|128G||node-224-2t-8gpu-1
1210506.batch|COMPLETED|501|64||7071520K|node-224-2t-8gpu-1
1210506.extern|COMPLETED|501|64||0|node-224-2t-8gpu-1
1210507|COMPLETED|16|1|8G||node-224-2t-8gpu-1
1210507.batch|COMPLETED|16|1||0|node-224-2t-8gpu-1
1210507.extern|COMPLETED|16|1||0|node-224-2t-8gpu-1
