JobID|State|ElapsedRaw|AllocCPUS|ReqMem|MaxRSS|NodeList
1210402|COMPLETED|107|32|200000M||node-224-2t-8gpu-1
1210402.batch|COMPLETED|107|32||80828K|node-224-2t-8gpu-1
1210402.extern|COMPLETED|107|32||0|node-224-2t-8gpu-1
1210402.0|COMPLETED|98|1||1181356K|node-224-2t-8gpu-1
1210423|COMPLETED|20|32|200000M||node-224-2t-8gpu-1
1210423.batch|COMPLETED|20|32||0|node-224-2t-8gpu-1
1210423.extern|COMPLETED|20|32||0|node-224-2t-8gpu-1
1210423.0|COMPLETED|14|1||0|node-224-2t-8gpu-1
1210424|CANCELLED by 601|0|64|128G||None assigned
1210425|CANCELLED by 601|0|1|8G||None assigned
1210431|COMPLETED|172|64|128G||node-224-2t-8gpu-1
1210431.batch|COMPLETED|172|64||5916116K|node-224-2t-8gpu-1
1210431.extern|COMPLETED|172|64||0|node-224-2t-8gpu-1
1210432|COMPLETED|3|1|8G||node-224-2t-8gpu-1
1210432.batch|COMPLETED|3|1||0|node-224-2t-8gpu-1
1210432.extern|COMPLETED|3|1||0|node-224-2t-8gpu-1
