JobID|State|MaxRSS|MaxVMSize|TotalCPU
1210573|COMPLETED|||10:05.326
1210573.batch|COMPLETED|93856K|168180K|05:49.320
1210573.extern|COMPLETED|0|0|00:00.002
1210573.0|COMPLETED|1175108K|1217144K|04:16.002
1210574|COMPLETED|||09:31.293
1210574.batch|COMPLETED|93588K|166512K|05:24.651
1210574.extern|COMPLETED|0|0|00:00.001
1210574.0|COMPLETED|1174184K|1215928K|04:06.641
1210575|COMPLETED|||18:36.459
1210575.batch|COMPLETED|94768K|208816K|10:29.400
1210575.extern|COMPLETED|0|0|00:00.002
1210575.0|COMPLETED|1177736K|1242616K|08:07.056
1210576|COMPLETED|||17:37.597
1210576.batch|COMPLETED|93752K|205172K|09:34.504
1210576.extern|COMPLETED|0|0|00:00.002
1210576.0|COMPLETED|1179668K|1239308K|08:03.090
1210586|COMPLETED|||14:46:39
1210586.batch|COMPLETED|6661088K|8414704K|14:46:39
1210586.extern|COMPLETED|0|0|00:00.002
1210587|COMPLETED|||01:39.996
1210587.batch|COMPLETED|106020K|120652K|01:20.219
1210587.extern|COMPLETED|0|0|00:00.002
1210587.0|COMPLETED|0|1652K|00:19.774
1210588|COMPLETED|||14:49:59
1210588.batch|COMPLETED|7259924K|8401844K|14:49:59
1210588.extern|COMPLETED|0|0|00:00.001
1210589|COMPLETED|||01:39.355
1210589.batch|COMPLETED|104016K|121252K|01:20.159
1210589.extern|COMPLETED|0|0|00:00.002
1210589.0|COMPLETED|0|1396K|00:19.192
1210590|COMPLETED|||13:56:57
1210590.batch|COMPLETED|7096036K|8308984K|13:56:57
1210590.extern|COMPLETED|0|0|00:00.001
1210591|COMPLETED|||01:41.299
1210591.batch|COMPLETED|103272K|112148K|01:20.652
1210591.extern|COMPLETED|0|0|00:00.003
1210591.0|COMPLETED|0|1356K|00:20.643
1210592|COMPLETED|||14:12:24
1210592.batch|COMPLETED|6710632K|8377036K|14:12:24
1210592.extern|COMPLETED|0|0|00:00.001
1210593|COMPLETED|||01:34.880
1210593.batch|COMPLETED|102984K|126180K|01:16.058
1210593.extern|COMPLETED|0|0|00:00.002
1210593.0|COMPLETED|0|1372K|00:18.819
1210601|COMPLETED|||00:04.315
1210601.batch|COMPLETED|0|146260K|00:04.313
1210601.extern|COMPLETED|0|0|00:00.002
