JobID|State|ElapsedRaw|AllocCPUS|ReqMem|NodeList|AllocTRES
1210573|COMPLETED|665|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210574|COMPLETED|630|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210575|COMPLETED|1213|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210576|COMPLETED|1160|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210586|COMPLETED|1531|64|128G|node-224-2t-8gpu-1|billing=64,cpu=64,node=1
1210587|COMPLETED|114|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210588|COMPLETED|1526|64|128G|node-224-2t-8gpu-1|billing=64,cpu=64,node=1
1210589|COMPLETED|114|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210590|COMPLETED|1451|64|128G|node-224-2t-8gpu-1|billing=64,cpu=64,node=1
1210591|COMPLETED|118|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210592|COMPLETED|1458|64|128G|node-224-2t-8gpu-1|billing=64,cpu=64,node=1
1210593|COMPLETED|109|32|200000M|node-224-2t-8gpu-1|billing=32,cpu=32,node=1
1210601|COMPLETED|8|1|8G|node-128-512g-8gpu-1|billing=1,cpu=1,node=1
