JobID|State|ElapsedRaw|AllocCPUS|AllocTRES|MaxRSS
1202081|COMPLETED|1171|16|billing=16,cpu=16,node=1|
1202081.batch|COMPLETED|1171|16|cpu=16,mem=0,node=1|1656496K
1202081.extern|COMPLETED|1171|16|billing=16,cpu=16,node=1|0
1202085|COMPLETED|363|64|billing=64,cpu=64,node=1|
1202085.batch|COMPLETED|363|64|cpu=64,mem=0,node=1|11936052K
1202085.extern|COMPLETED|363|64|billing=64,cpu=64,node=1|8K
1202086|COMPLETED|393|64|billing=64,cpu=64,node=1|
1202086.batch|COMPLETED|393|64|cpu=64,mem=0,node=1|11727776K
1202086.extern|COMPLETED|393|64|billing=64,cpu=64,node=1|20K
1202087|COMPLETED|401|64|billing=64,cpu=64,node=1|
1202087.batch|COMPLETED|401|64|cpu=64,mem=0,node=1|12007652K
1202087.extern|COMPLETED|401|64|billing=64,cpu=64,node=1|20K
1202088|COMPLETED|423|64|billing=64,cpu=64,node=1|
1202088.batch|COMPLETED|423|64|cpu=64,mem=0,node=1|12044748K
1202088.extern|COMPLETED|423|64|billing=64,cpu=64,node=1|56K
