# Eukaryotic PQQ-ADH discriminator results — Colin's 03_Euk batch
# DFT vertical Ca²⁺/Ln³⁺ swap discriminator at r²SCAN-3c CPCM(Water)
# carve_with_pqq.py pipeline (PQQ cofactor included in QM region)
# Tiers: Ln-evolved ≥+20, Ln-preferring +5 to +20, marginal 0 to +5,
#        ambiguous −5 to 0, Ca-evolved −5 to −30, OUTLIER <−30 (likely Mn/Zn pocket)
rank	uniprot	domain	ddE_kcal	class	iptm_La_fold	ptm_protein	ranking_score	n_atoms_QM	source_cif
1	A0A2V0PRL1	domain3	+23.45	Ln-evolved	0.980	0.960	0.980	56	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2v0prl1_domain3chaina-pqq-la_model.cif
2	A0A2V0NW76	domain1	+22.35	Ln-evolved	0.980	0.940	0.970	56	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2v0nw76_domain1chaina-pqq-la_model.cif
3	A0A423VTM4	domain1	+18.70	Ln-preferring	0.980	0.950	0.970	55	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a423vtm4_domain1chaina-pqq-la_model.cif
4	A0A2J6QW99	domain1	+17.31	Ln-preferring	0.980	0.900	0.960	55	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2j6qw99_domain1chaina-pqq-la_model.cif
5	A0A2T6ZFF7	domain1	+15.72	Ln-preferring	0.980	0.930	0.970	55	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2t6zff7_domain1chaina-pqq-la_model.cif
6	A0A383VAH7	domain2	+15.59	Ln-preferring	0.980	0.960	0.980	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a383vah7_domain2chaina-pqq-la_model.cif
7	A0A420YCP2	domain1	+13.30	Ln-preferring	0.980	0.950	0.970	55	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a420ycp2_domain1chaina-pqq-la_model.cif
8	A0A1Y1IRX0	domain1	+13.14	Ln-preferring	0.980	0.960	0.980	55	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1y1irx0_domain1chaina-pqq-la_model.cif
9	A0A1R3GAW4	domain2	+13.06	Ln-preferring	0.980	0.950	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a1r3gaw4_domain2chaina-pqq-la_model.cif
10	A0A2K1J2R4	domain1	+12.71	Ln-preferring	0.980	0.940	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2k1j2r4_domain1chaina-pqq-la_model.cif
11	A0A498HD21	domain1	+11.29	Ln-preferring	0.980	0.950	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a498hd21_domain1chaina-pqq-la_model.cif
12	A0A420Y6J0	domain1	+11.16	Ln-preferring	0.980	0.950	0.970	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a420y6j0_domain1chaina-pqq-la_model.cif
13	A0A175WB53	domain1	+9.78	Ln-preferring	0.980	0.950	0.980	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a175wb53_domain1chaina-pqq-la_model.cif
14	A0A2K3CP49	domain1	+9.04	Ln-preferring	0.970	0.940	0.960	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a2k3cp49_domain1chaina-pqq-la_model.cif
15	A0A5J5AL41	domain2	+8.47	Ln-preferring	0.970	0.900	0.960	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a5j5al41_domain2chaina-pqq-la_model.cif
16	A0A401TZE9	domain1	+8.42	Ln-preferring	0.950	0.930	0.950	58	/groups/banfield/projects/multienv/corkscrew/supplementary_structures/structures_alone/Euk/a0a401tze9_domain1chaina-pqq-la_model.cif
