# DFT Ca²⁺/Ln³⁺ discriminator — Ln-class hits (ΔΔE ≥ +5 kcal/mol), enriched with spicy_lams Sharur DB annotations
rank	stem	source	iptm	n_atoms	ddE_kcal	class	spicy_class	pfam	ko	novel	length_aa	bin_id	gene_id	fp_note	cif_path	workspace_path
1	NZ_JACIDR010000005_1_9_iptm0_932_s0	spicylams	0.932		+32.95	FALSE_POSITIVE (Ln-evolved)	other_VIT1	VIT1	K22736	1	232	GCF_014196425.1_ASM1419642v1_genomic	NZ_JACIDR010000005.1_9	VIT1 family transporter (Pfam:VIT1). Originally auto-flagged as Fe³⁺ FP because located in a VIT1/FecCD/TonB iron-uptake-style locus with no LanM on the contig (per 2026-04-08_hyphomicrobium-lanm-mystery-protein.md). HOWEVER: per Jacob 2026-05-09 PM, the +33 ΔΔE may instead reflect a real Ln³⁺ transporter — VIT1 family is functionally promiscuous and a Ln-co-opted VIT1 is plausible. Keep this entry as a HYPOTHESIZED FP / candidate-Ln-transporter, not a confirmed FP. Worth following up.		
2	tannasepara_NZ_JYMT	vault_panel	-		+27.46	Ln-evolved	-	-	-	-	-	-	-			
3	A0A226QCS9_acidithiobacillus	colin_extras	-		+24.42	Ln-evolved	-	-	-	-	-	-	-			
4	xoxf	vault_panel	-		+24.13	Ln-evolved	-	-	-	-	-	-	-			
5	colinpqq_la_i0jwn7_pqq_la_model	colin_la_verified	-		+23.46	Ln-evolved	-	-	-	-	-	-	-			
6	03_Euk_a0a2v0prl1_domain3chaina-pqq-la_model	unknown	-		+23.45	Ln-evolved	-	-	-	-	-	-	-			
7	00_Lav_i0jwn7-pqq-la_model	unknown	-		+23.28	Ln-evolved	-	-	-	-	-	-	-			
8	colinpqq_la_a0acd6b9f2_pqq_la_model	colin_la_verified	-		+23.02	Ln-evolved	-	-	-	-	-	-	-			
9	colinpqq_la_c5atj3_pqq_la_model	colin_la_verified	-		+22.79	Ln-evolved	-	-	-	-	-	-	-			
10	00_Lav_a0acd6b9f2-pqq-la_model	unknown	-		+22.61	Ln-evolved	-	-	-	-	-	-	-			
11	SilE_like_LanM_associated_sample_0	unknown	-		+22.40	Ln-evolved	-	-	-	-	-	-	-			
12	03_Euk_a0a2v0nw76_domain1chaina-pqq-la_model	unknown	-		+22.35	Ln-evolved	-	-	-	-	-	-	-			
13	03_Euk_a0aa35t3y3_domain1chaina-pqq-la_model	unknown	-		+21.74	Ln-evolved	-	-	-	-	-	-	-			
14	00_Lav_q89gy2-pqq-la_model	unknown	-		+21.50	Ln-evolved	-	-	-	-	-	-	-			
15	SilE_La_sample_0	unknown	-		+21.33	Ln-evolved	-	-	-	-	-	-	-			
16	colinpqq_la_q89gy2_pqq_la_model	colin_la_verified	-		+21.18	Ln-evolved	-	-	-	-	-	-	-			
17	03_Euk_a0aae0vl32_domain1chaina-pqq-la_model	unknown	-		+20.65	Ln-evolved	-	-	-	-	-	-	-			
18	00_Lav_c5atj3-pqq-la_model	unknown	-		+20.57	Ln-evolved	-	-	-	-	-	-	-			
19	FSRD01000002_1_1028_iptm0_980_s0	spicylams	0.980		+20.37	Ln-evolved	tannase	Tannase	-	0	575	GCA_900129675.1_IMG-taxon_2698537050_annotated_assembly_genomic	FSRD01000002.1_1028			
20	00_Lav_q92wy9-pqq-la_model	unknown	-		+19.40	Ln-preferring	-	-	-	-	-	-	-			
21	hyphomyst_NZ_WMBQ	vault_panel	-		+19.14	Ln-preferring	-	-	-	-	-	-	-			
22	NZ_QHJE01000001_1_740_iptm0_984_s0	spicylams	0.984		+18.74	Ln-preferring	PQQ_other	PQQ,PQQ_2	-	0	628	GCF_013626205.1_ASM1362620v1_genomic	NZ_QHJE01000001.1_740			
23	03_Euk_a0a423vtm4_domain1chaina-pqq-la_model	unknown	-		+18.70	Ln-preferring	-	-	-	-	-	-	-			
24	colinpqq_la_q88jh0_pqq_la_model	colin_la_verified	-		+18.68	Ln-preferring	-	-	-	-	-	-	-			
25	colinpqq_la_q92wy9_pqq_la_model	colin_la_verified	-		+18.26	Ln-preferring	-	-	-	-	-	-	-			
26	03_Euk_a0aae0k4h9_domain1chaina-pqq-la_model	unknown	-		+18.10	Ln-preferring	-	-	-	-	-	-	-			
27	colinpqq_la_c5b120_pqq_la_model	colin_la_verified	-		+17.92	Ln-preferring	-	-	-	-	-	-	-			
28	00_Lav_c5b120-pqq-la_model	unknown	-		+17.92	Ln-preferring	-	-	-	-	-	-	-			
29	A0A7V5CTA7_acidobacterium	colin_extras	-		+17.87	Ln-preferring	-	-	-	-	-	-	-			
30	A0A840IK71_conexibacter	colin_extras	-		+17.71	Ln-preferring	-	-	-	-	-	-	-			
31	03_Euk_b9tju5_domain1chaina-pqq-la_model	unknown	-		+17.68	Ln-preferring	-	-	-	-	-	-	-			
32	NZ_JAERVJ010000008_1_86_iptm0_962_s0	spicylams	0.962		+17.46	Ln-preferring	other_Tad	Tad	-	1	295	GCF_016745395.1_ASM1674539v1_genomic	NZ_JAERVJ010000008.1_86			
33	A0A226Q2Q9_acidithiobacillus	colin_extras	-		+17.42	Ln-preferring	-	-	-	-	-	-	-			
34	03_Euk_a0a2j6qw99_domain1chaina-pqq-la_model	unknown	-		+17.31	Ln-preferring	-	-	-	-	-	-	-			
35	03_Euk_a0a9p4ij45_domain1chaina-pqq-la_model	unknown	-		+17.13	Ln-preferring	-	-	-	-	-	-	-			
36	NZ_JACIDR010000005_1_24_iptm0_957_s0	spicylams	0.957		+16.58	Ln-preferring	-	-	-	-	-	-	-			
37	colinpqq_la_mmol_2048_pqq_la_model	colin_la_verified	-		+15.94	Ln-preferring	-	-	-	-	-	-	-			
38	03_Euk_a0aaj0bh12_domain1chaina-pqq-la_model	unknown	-		+15.93	Ln-preferring	-	-	-	-	-	-	-			
39	colinpqq_la_mmol_1770_pqq_la_model	colin_la_verified	-		+15.84	Ln-preferring	-	-	-	-	-	-	-			
40	duf2950_sample_0	unknown	-		+15.77	Ln-preferring	-	-	-	-	-	-	-			
41	03_Euk_a0a2t6zff7_domain1chaina-pqq-la_model	unknown	-		+15.72	Ln-preferring	-	-	-	-	-	-	-			
42	tannase	vault_panel	-		+15.68	Ln-preferring	-	-	-	-	-	-	-			
43	03_Euk_a0a383vah7_domain2chaina-pqq-la_model	unknown	-		+15.59	Ln-preferring	-	-	-	-	-	-	-			
44	00_Lav_q88jh0-pqq-la_model	unknown	-		+15.49	Ln-preferring	-	-	-	-	-	-	-			
45	03_Euk_a0aa35t481_domain1chaina-pqq-la_model	unknown	-		+15.29	Ln-preferring	-	-	-	-	-	-	-			
46	NZ_PSRS01000033_1_43_iptm0_990_s0	spicylams	0.990		+15.06	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_004212675.1_ASM421267v1_genomic	NZ_PSRS01000033.1_43			
47	NZ_JAEMSD010000177_1_3_iptm0_990_s0	spicylams	0.990		+15.04	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_016462955.1_ASM1646295v1_genomic	NZ_JAEMSD010000177.1_3			
48	03_Euk_a0aa38rje6_domain1chaina-pqq-la_model	unknown	-		+14.99	Ln-preferring	-	-	-	-	-	-	-			
49	03_Euk_a0aa35wpt6_domain1chaina-pqq-la_model	unknown	-		+14.94	Ln-preferring	-	-	-	-	-	-	-			
50	NZ_RDQF01000023_1_48_iptm0_990_s0	spicylams	0.990		+14.93	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_004114425.1_ASM411442v1_genomic	NZ_RDQF01000023.1_48			
51	NZ_JAGIKT010000066_1_76_iptm0_990_s0	spicylams	0.990		+14.90	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_017788805.1_ASM1778880v1_genomic	NZ_JAGIKT010000066.1_76			
52	Q2JDA3_frankia	colin_extras	-		+14.90	Ln-preferring	-	-	-	-	-	-	-			
53	00_Lav_mmol_1770-pqq-la_model	unknown	-		+14.88	Ln-preferring	-	-	-	-	-	-	-			
54	03_Euk_a0a7j7pmx4_domain1chaina-pqq-la_model	unknown	-		+14.84	Ln-preferring	-	-	-	-	-	-	-			
55	03_Euk_a0a9p3jw23_domain1chaina-pqq-la_model	unknown	-		+14.80	Ln-preferring	-	-	-	-	-	-	-			
56	NZ_AXAY01000027_1_94_iptm0_990_s0	spicylams	0.990		+14.76	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_000473045.1_ASM47304v1_genomic	NZ_AXAY01000027.1_94			
57	NZ_JAFCLG010000004_1_224_iptm0_990_s0	spicylams	0.990		+14.68	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_018129685.1_ASM1812968v1_genomic	NZ_JAFCLG010000004.1_224			
58	03_Euk_a0aae0mmr5_domain1chaina-pqq-la_model	unknown	-		+14.67	Ln-preferring	-	-	-	-	-	-	-			
59	NZ_SPQS01000001_1_273_iptm0_990_s0	spicylams	0.990		+14.64	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_004570865.1_ASM457086v1_genomic	NZ_SPQS01000001.1_273			
60	VAZP01000222_1_2_iptm0_989_s0	spicylams	0.989		+14.59	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCA_005882475.1_ASM588247v1_genomic	VAZP01000222.1_2			
61	NZ_WQNE01000001_1_289_iptm0_991_s0	spicylams	0.991		+14.58	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_009759665.1_ASM975966v1_genomic	NZ_WQNE01000001.1_289			
62	NZ_KI911783_1_6301_iptm0_990_s0	spicylams	0.990		+14.56	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000515415.1_ASM51541v1_genomic	NZ_KI911783.1_6301			
63	03_Euk_a0a8e2jbj9_domain1chaina-pqq-la_model	unknown	-		+14.47	Ln-preferring	-	-	-	-	-	-	-			
64	03_Euk_a0a9q1l7h8_domain3chaina-pqq-la_model	unknown	-		+14.42	Ln-preferring	-	-	-	-	-	-	-			
65	NZ_JADPJG010000023_1_50_iptm0_991_s0	spicylams	0.991		+14.40	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_023073335.1_ASM2307333v1_genomic	NZ_JADPJG010000023.1_50			
66	NZ_JADPJI010000005_1_26_iptm0_990_s0	spicylams	0.990		+14.40	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023073355.1_ASM2307335v1_genomic	NZ_JADPJI010000005.1_26			
67	droideka_siteB	colin_droideka	-		+14.35	Ln-preferring	-	-	-	-	-	-	-			
