case_id	evidence_stratum	role	biological_group	label	donor_count	MACE_radial_kcal_mol_A	MACE_tangential_fraction	DFT_radial_kcal_mol_A	DFT_tangential_fraction	MACE_DFT_donor_vector_cosine	DFT_class	DFT_radial_class	DFT_tangential_class	radial_class	tangential_class
a0a3f2yly8-pqq-la_model	canonical_PQQ_functional_class	calibration	a0a3f2yly8	La	8	-2.576682288370443	0.47819820130932245				La	La	La	Ca	Ca
a0acd6b9f2-pqq-la_model	canonical_PQQ_functional_class	calibration	a0acd6b9f2	La	8	-7.783990405233951	0.5534195449067042				La	La	La	La	La
c5atj3-pqq-la_model	canonical_PQQ_functional_class	calibration	c5atj3	La	9	-7.217544097994036	0.5442090326410349				La	La	La	La	La
c5axv8-pqq-la_model	canonical_PQQ_functional_class	calibration	c5axv8	La	8	-9.676234999603885	0.4703824129697077				La	La	La	La	Ca
c5b120-pqq-la_model	canonical_PQQ_functional_class	calibration	c5b120	La	9	-7.879946828321333	0.46091367702351554				La	La	La	La	Ca
i0jwn7-pqq-la_model	canonical_PQQ_functional_class	calibration	i0jwn7	La	9	-10.340309087405466	0.45191848864628203				La	La	La	La	Ca
mmol_1770-pqq-la_model	canonical_PQQ_functional_class	calibration	mmol_1770	La	8	-6.492578871240034	0.546667649015429				La	La	La	La	La
mmol_2048-pqq-la_model	canonical_PQQ_functional_class	calibration	mmol_2048	La	8	-6.307518747336534	0.6266343798401197				La	La	La	La	La
q88jh0-pqq-la_model	canonical_PQQ_functional_class	calibration	q88jh0	La	8	-2.9607840761730166	0.6202818118719865				La	La	La	Ca	La
q89gy2-pqq-la_model	canonical_PQQ_functional_class	calibration	q89gy2	La	9	-8.344768963235447	0.47509116143165986				La	La	La	La	Ca
q92wy9-pqq-la_model	canonical_PQQ_functional_class	calibration	q92wy9	La	8	-6.5649468841844225	0.5423546598102221				La	La	La	La	La
a8r3s4-pqq-la_model	canonical_PQQ_functional_class	calibration	a8r3s4	Ca	7	-3.9925941959177176	0.47829872213579905				Ca	Ca	Ca	Ca	Ca
atq70401.1-pqq-la_model	canonical_PQQ_functional_class	calibration	atq70401.1	Ca	6	0.5549184288911159	0.4010032036146632				Ca	Ca	Ca	Ca	Ca
bbl57595.1-pqq-la_model	canonical_PQQ_functional_class	calibration	bbl57595.1	Ca	7	-2.9282856701534468	0.41763375835645783				Ca	Ca	Ca	Ca	Ca
o24759-pqq-la_model	canonical_PQQ_functional_class	calibration	o24759	Ca	6	-1.2123093590173692	0.4099337182875906				Ca	Ca	Ca	Ca	Ca
p12293-pqq-la_model	canonical_PQQ_functional_class	calibration	p12293	Ca	6	-1.6026295028219426	0.4283735414569602				Ca	Ca	Ca	Ca	Ca
p15279-pqq-la_model	canonical_PQQ_functional_class	calibration	p15279	Ca	6	-0.3888280807071099	0.4126450063401252				Ca	Ca	Ca	Ca	Ca
p16027-pqq-la_model	canonical_PQQ_functional_class	calibration	p16027	Ca	6	-0.32530967835059305	0.41679136808169753				Ca	Ca	Ca	Ca	Ca
p38539-pqq-la_model	canonical_PQQ_functional_class	calibration	p38539	Ca	6	-5.90977877264645	0.5543612584901618				Ca	Ca	Ca	La	La
q4w6g0-pqq-la_model	canonical_PQQ_functional_class	calibration	q4w6g0	Ca	7	-4.632610340792975	0.5831574556678585				Ca	Ca	La	La	La
q60ar6-pqq-la_model	canonical_PQQ_functional_class	calibration	q60ar6	Ca	6	-2.333978539646484	0.47203740131023203				Ca	Ca	Ca	Ca	Ca
q88jh5-pqq-la_model	canonical_PQQ_functional_class	calibration	q88jh5	Ca	7	-3.8801051117019676	0.5100903529728286				Ca	Ca	Ca	Ca	La
q8gr64-pqq-la_model	canonical_PQQ_functional_class	calibration	q8gr64	Ca	7	4.0640641575431555	0.3237647457980235				Ca	Ca	Ca	Ca	Ca
q9l935-pqq-la_model	canonical_PQQ_functional_class	calibration	q9l935	Ca	6	-4.98207634450342	0.5399966053968589				Ca	Ca	Ca	La	La
q9z4j7-pqq-la_model	canonical_PQQ_functional_class	calibration	q9z4j7	Ca	7	-3.40049568580147	0.48096723127180546				Ca	Ca	Ca	Ca	Ca
1H4I	canonical_PQQ_functional_class	retrospective_structural_transfer	p16027	Ca	6	-8.435230076715895	0.5504290591651831				Ca	Ca	Ca	La	La
4MAE	canonical_PQQ_functional_class	retrospective_structural_transfer	i0jwn7	La	9	-12.741279189607067	0.3859191977036497				La	La	La	La	Ca
1KB0	canonical_PQQ_functional_class	retrospective_external_class_transfer	q46444	Ca	7	-5.050045907511602	0.6367655565512887				Ca	Ca	La	La	La
ALPHA_1F6S	direct_direction_condition_qualified	consumed_development	bovine_alpha_lactalbumin	La	7	-2.9902818165794183	0.5043233519993606	7.22085648614659	0.19969356913278177	0.24573491794539531					
ALPHA_6IP9	direct_direction_condition_qualified	consumed_development	bovine_alpha_lactalbumin	La	9	-1.4135737475218668	0.12451264273975468	7.031484315870385	0.09710269942292081	0.9001016071551547					
GGR_connected	direct_direction_condition_qualified	consumed_development	GGR_MglB	Ca	7	7.552458085713924	0.2894647624810664	15.076114442658348	0.07934556188539144	0.860555328953787					
GGR_extended	direct_direction_condition_qualified	consumed_development	GGR_MglB	Ca	7	6.673647904003772	0.31513876060029766	15.238832295769509	0.07916130475755749	0.7933143593879163					
