source_id,expected_class,R_model_kcal_mol,margin_to_own_class_edge_kcal_mol,adaptive_outcome,origin_outcome,strict_tenfold_outcome,final_shift_vs_strict_tenfold,origin_shift_vs_strict_tenfold,differential_accommodation_shift
a0a3f2yly8-pqq-la_model__conditioned_Ca__seed-1_sample-1,La,-405452.15566027496,4.30548752885079,correct,inconclusive,correct,-1.439041126985103,-3.269459780131001,1.8304186531458981
a0a3f2yly8-pqq-la_model__conditioned_Ca__seed-1_sample-3,La,-405457.0304906293,-0.5693428255035542,inconclusive,inconclusive,correct,-1.5612452284549363,-2.9609468481503427,1.3997016196954064
a0acd6b9f2-pqq-la_model__conditioned_Ca__seed-1_sample-4,La,-405453.59360286326,2.8675449405563995,correct,wrong,correct,1.2498467176337726,-0.3557172627770342,1.6055639804108068
a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,La,-405439.5969798923,16.86416791152442,correct,inconclusive,correct,0.2138546045171097,-0.9071623141644523,1.121016918681562
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-1,Ca,-405468.2327339728,4.700189919851255,correct,correct,correct,-1.3043953353189863,-1.2370980312116444,-0.06729730410734192
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-3,Ca,-405468.8050421818,5.272498128877487,correct,correct,correct,-1.4555638015735894,-1.7576791544561274,0.302115352882538
