# Empty-carve / failed-carve queue — entries needing re-carve with fixed carve_generic.py
# Fixed script: alchemical_bvs/scripts/carve_generic.py (3.0 Å cutoff, TYR sidechain, backbone-O carving)
# Signature: E[La] ≈ -31.16 Ha (bare La³⁺ + caps), N_atoms typically 1
stem	n_atoms_La	E_La	E_Ca	protonated_pdb	qm_dir
A0A0D7CEY6_actinobacteriota	1	-31.158776	-677.240177910962	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0D7CEY6_actinobacteriota_qm/A0A0D7CEY6_actinobacteriota_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0D7CEY6_actinobacteriota_qm
A0A0D8B5U5_frankia	1	-31.158776	-677.240177910961	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0D8B5U5_frankia_qm/A0A0D8B5U5_frankia_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0D8B5U5_frankia_qm
A0A0J8WZE3_actinobacteriota	1	-31.158776	-677.24017791096	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0J8WZE3_actinobacteriota_qm/A0A0J8WZE3_actinobacteriota_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0J8WZE3_actinobacteriota_qm
A0A0X3X1I9_actinobacteriota	1	-31.158776	-677.240177910953	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0X3X1I9_actinobacteriota_qm/A0A0X3X1I9_actinobacteriota_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A0X3X1I9_actinobacteriota_qm
A0A3D4VCA6_gemmatimonadota	1	-31.158776	-677.240177909798	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A3D4VCA6_gemmatimonadota_qm/A0A3D4VCA6_gemmatimonadota_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A3D4VCA6_gemmatimonadota_qm
A0A5C7WG50_methylophilus	1	-31.158776	-677.240177910962	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A5C7WG50_methylophilus_qm/A0A5C7WG50_methylophilus_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A5C7WG50_methylophilus_qm
A0A5C7WI58_methylophilus	1	-31.158776	-677.240177910968	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A5C7WI58_methylophilus_qm/A0A5C7WI58_methylophilus_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A5C7WI58_methylophilus_qm
A0A7V4XQS1_acidobacterium	1	-31.158776	-677.240177909772	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A7V4XQS1_acidobacterium_qm/A0A7V4XQS1_acidobacterium_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A7V4XQS1_acidobacterium_qm
A0A7V4XSJ5_acidobacterium	1	-31.158776	-677.240177910958	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A7V4XSJ5_acidobacterium_qm/A0A7V4XSJ5_acidobacterium_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A7V4XSJ5_acidobacterium_qm
A0A7V4XT12_acidobacterium	1	-31.158776	-677.240177909769	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A7V4XT12_acidobacterium_qm/A0A7V4XT12_acidobacterium_protonated.pdb	/groups/banfield/projects/environmental/sr/srvp2020/Jacob/lanthanide_binding/on_density_scanner/alchemical_bvs/A0A7V4XT12_acidobacterium_qm
