case_id	expected_class	DFT_seconds	original_MACE_seconds	cached_MACE_seconds	DFT_S_kcal_mol	DFT_class	original_MACE_R_model_kcal	original_MACE_class	cached_MACE_R_model_kcal	cached_MACE_class	cache_score_change_model_kcal
a0a3f2yly8-pqq-la_model	La	239.74962226301432	161.11215551942587	128.8489340543747	23.45982046854318	inconclusive	51.455254788976355	La	51.455254788976355	La	0.0
a0acd6b9f2-pqq-la_model	La	239.84462387114763	153.23286956176162	130.04150650650263	39.19464717129238	La	72.08354713147028	La	72.08354713147028	La	0.0
c5atj3-pqq-la_model	La	311.6136639751494	155.31558869034052	127.88992457836866	38.01175169677011	La	59.90666955977613	La	59.90666955977613	La	0.0
c5axv8-pqq-la_model	La	276.2997250556946	149.82768201082945	126.16850916668773	30.22699747235375	La	60.5011950260586	La	60.5011950260586	La	0.0
c5b120-pqq-la_model	La	250.02303341031075	154.11036371812224	127.99571653082967	32.727664898094254	La	64.1529702946862	La	64.1529702946862	La	0.0
i0jwn7-pqq-la_model	La	268.05944291874766	153.66256493330002	128.6803713850677	38.2568772035179	La	63.19333538517247	La	63.19333538517247	La	0.0
mmol_1770-pqq-la_model	La	265.9044869989157	156.6969994790852	128.47957112267613	31.83736257139505	La	63.033121312537155	La	63.033121312537155	La	0.0
mmol_2048-pqq-la_model	La	314.6503208130598	155.06129892915487	129.34517430141568	34.45722426562361	La	56.0203109264286	La	56.0203109264286	La	0.0
q88jh0-pqq-la_model	La	383.08377746120095	154.18017314374447	129.0050800703466	31.941582511091852	La	58.10636798870905	La	58.10636798870905	La	0.0
q89gy2-pqq-la_model	La	240.46361363306642	152.9990839213133	124.90453884378076	34.13956932562003	La	65.12703199277462	La	65.12703199277462	La	0.0
q92wy9-pqq-la_model	La	247.1783700324595	150.97870568558574	127.16713582351804	34.86217607978884	La	65.09233300814981	La	65.09233300814981	La	0.0
a8r3s4-pqq-la_model	Ca	216.9756751731038	156.62712233886123	129.82386170327663	6.451957299734336	Ca	37.568702474485065	Ca	37.568702474485065	Ca	0.0
atq70401.1-pqq-la_model	Ca	221.66449505090714	154.44212029501796	128.6717637218535	3.231876006359896	Ca	26.474826081166523	Ca	26.474826081166523	Ca	0.0
bbl57595.1-pqq-la_model	Ca	218.10997679829597	155.18881707638502	127.77970381453633	6.848399152123751	Ca	27.55634551007413	Ca	27.55634551007413	Ca	0.0
o24759-pqq-la_model	Ca	246.4294086135924	158.85641525313258	131.69028674066067	2.7140712821882644	Ca	25.84537315996746	Ca	25.84537315996746	Ca	0.0
p12293-pqq-la_model	Ca	227.3728902824223	157.94978163018823	130.48273126780987	5.096539466895403	Ca	28.760797548120774	Ca	28.760797548120774	Ca	0.0
p15279-pqq-la_model	Ca	227.90952276438475	152.5824260339141	130.45572140440345	3.654971472962737	Ca	23.691279027902386	Ca	23.691279027902386	Ca	0.0
p16027-pqq-la_model	Ca	229.8453056626022	156.96107310056686	129.63000091165304	4.554580951144624	Ca	25.204059434876037	Ca	25.204059434876037	Ca	0.0
p38539-pqq-la_model	Ca	225.98037012666464	149.94780992344022	124.28369576111436	14.040432956229132	Ca	39.25127524570312	Ca	39.25127524570312	Ca	0.0
q4w6g0-pqq-la_model	Ca	231.76779261231422	165.09993893653154	139.76463401317596	14.85695990640485	Ca	42.346663801320496	Ca	42.346663801320496	Ca	0.0
q60ar6-pqq-la_model	Ca	336.0473928563297	155.43379667028785	129.2722241654992	9.354219681106258	Ca	30.437146297201444	Ca	30.437146297201444	Ca	0.0
q88jh5-pqq-la_model	Ca	731.9106554500759	154.71795196086168	130.25746297463775	11.496707502809357	Ca	38.85924601866164	Ca	38.85924601866164	Ca	0.0
q8gr64-pqq-la_model	Ca	225.19097235053778	156.68724711611867	135.73501842841506	0.4800072703676182	Ca	27.05229720018122	Ca	27.05229720018122	Ca	0.0
q9l935-pqq-la_model	Ca	227.8068969734013	152.88049904629588	126.87088874354959	9.774587501023811	Ca	31.456349906368335	Ca	31.456349906368335	Ca	0.0
q9z4j7-pqq-la_model	Ca	202.980171199888	153.2757524549961	129.0023920685053	8.1639008431613	Ca	41.351211051351875	Ca	41.351211051351875	Ca	0.0
